imagem,nome,preco,categoria,promocao,destaque,ativo
produtos/coco_ralado_menina_50g.png,coco ralado menina 50g,3.50,Geral,FALSE,FALSE,TRUE
produtos/cola_three_bond_gel.png,cola three bond gel,5.00,Geral,FALSE,FALSE,TRUE
produtos/colorau_donana_30g.png,Colorau Donana 30g,2.80,Geral,FALSE,FALSE,TRUE
produtos/cone_jeittone_cookies.png,cone jeittone cookies,9.00,Geral,FALSE,FALSE,TRUE
produtos/cone_jeittone_ninho_trufado.png,cone jeittone ninho trufado,9.00,Geral,FALSE,FALSE,TRUE
produtos/confetes_wizzy.png,confetes wizzy,2.00,Geral,FALSE,FALSE,TRUE
produtos/conhaque_presidente_900ml.png,conhaque Presidente 900ml,20.50,Geral,FALSE,FALSE,TRUE
produtos/cootonela_75_unidades.png,cootonela 75 unidades,3.00,Geral,FALSE,FALSE,TRUE
produtos/copao_brigadeiro.png,copao brigadeiro,6.00,Geral,FALSE,FALSE,TRUE
produtos/copao_essencial_leitinho.png,copao essencial leitinho,12.90,Geral,FALSE,FALSE,TRUE
produtos/copao_essencial_napolitano.png,copao essencial napolitano,12.90,Geral,FALSE,FALSE,TRUE
produtos/copao_falimia_bauniha_1.5l.png,copao falimia bauniha 1.5l,22.90,Geral,FALSE,FALSE,TRUE
produtos/copao_familia_chocolate_branco.png,copao familia chocolate branco,22.90,Geral,FALSE,FALSE,TRUE
produtos/copao_familia_cocada_cremosa_1.5l.png,copao familia cocada cremosa 1.5l,22.90,Geral,FALSE,FALSE,TRUE
produtos/copao_familia_ninho_1.5l.png,copao familia ninho 1.5l,22.90,Geral,FALSE,FALSE,TRUE
produtos/copao_leitinho.png,copao leitinho,6.00,Geral,FALSE,FALSE,TRUE
produtos/copao_napolitanno.png,copao napolitanno,6.00,Geral,FALSE,FALSE,TRUE
produtos/copo_açai_com_letinho_180g.png,copo açai com letinho 180g,8.00,Geral,FALSE,FALSE,TRUE
produtos/copo_copao_770_ml_und.png,copo copao 770 ml und,1.00,Geral,FALSE,FALSE,TRUE
produtos/copo_descartavel_180ml.png,copo descartavel 180ml,8.99,Geral,FALSE,FALSE,TRUE
produtos/copo_descartável_cristalcopo_200ml.png,copo descartável cristalcopo 200ml,7.80,Geral,FALSE,FALSE,TRUE
produtos/copo_descartavel_minaplast.png,copo descartavel minaplast,9.50,Geral,FALSE,FALSE,TRUE
produtos/coquetel_açai_cativa_1l.png,coquetel açai Cativa 1L,11.00,Geral,FALSE,FALSE,TRUE
produtos/corona_extra_long_neck.png,corona extra long neck,7.50,Geral,FALSE,FALSE,TRUE
